Product,Price,Ounces,Source,Price per ounce,Categories
"McCormick Non-GMO Pure Vanilla Extract, 2.0 fl oz Box",6.97,2,Walmart,3.485,72
"Fresh Basil, 0.5 oz Clamshell",1.78,0.5,Walmart,3.56,5
"Quaker Instant Grits Butter 0.98 oz each, 10 Count",3.52,0.98,Walmart,3.591836735,35
"Great Value Pure Vanilla Extract, 1 fl oz",3.94,1,Walmart,3.94,72
"Great Value Cinnamon Sticks, 0.75 oz",3.22,0.75,Walmart,4.293333333,19
Giuliano Sweet Red Onion Strips 16 oz (Pack of 6),70.99,16,Walmart,4.436875,48
"McCormick Pure Vanilla Extract, 1.0 fl oz Box",4.97,1,Walmart,4.97,72
"Lawry's Casero No Artificial Flavors Basil, 0.62 oz Bottle",3.09,0.62,Walmart,4.983870968,24
"McCormick Non-GMO Kosher Cinnamon Sticks, 0.75 oz Bottle",4.46,0.75,Walmart,5.946666667,19
"Lay's Classic Potato Snack Chips, 1 oz Bags, 10 Count Multipack",5.97,1,Walmart,5.97,40
"Quaker Butter Naturally Flavored Instant Grits, 0.98 oz 22 Count",6.12,0.98,Walmart,6.244897959,35
"NPG Freeze-Dried Red Onion, 2 oz, Chopped & Diced, Dehydrated, Sweet & Crunchy, Non-GMO, No Additives",14.99,2,Walmart,7.495,48
"Great Value Organic Basil Leaves, 0.5 oz",4.36,0.5,Walmart,8.72,5
"Gourmet Garden Gluten Free Lightly Dried Basil, 0.42 oz Cup",3.94,0.42,Walmart,9.380952381,5
Litehouse Basil Freeze Dried Herbs 0.28oz,4.97,0.28,Walmart,17.75,24
