Product,Price,Ounces,Source,Price per ounce,Categories
Jhirmack Silver Brightening Purple Shampoo,5.79,12,Food City,0.4825,57
Jhirmack Silver Brightening Purple Conditioner,5.79,12,Food City,0.4825,57
Basket & Bushel Red Seedless Grapes,3.99,16,Food City,0.249375,57
Bang Purple Haze Energy Drink,2.5,16,Food City,0.15625,57
Fresh Red Bell Pepper,1.69,5,Food City,0.338,58
Pero Family Farms Red Organic Bell Pepper,3.49,5,Food City,0.698,58
"ShortCuts Recipe Ready Red Peppers, Fresh Cut",2.49,8,Food City,0.31125,58
"Mezzetta Bell Peppers, Red, Roasted, Mild Jar",2.69,10,Food City,0.269,58
ShortCuts Recipe Ready Fresh Cut Red Peppers,3.99,16,Food City,0.249375,58
Mezzetta Mild Roasted Red Bell Pepper Strips,3.69,16,Food City,0.230625,58
Ben's Original Long Grain White Rice BOX,4.39,2,Food City,2.195,59
Food Club Long Grain Instant White Rice,2.19,14,Food City,0.156428571,59
Food Club Enriched Long Grain White Rice,0.99,16,Food City,0.061875,59
Food Club Long Grain Instant White Rice,3.49,28,Food City,0.124642857,59
Mahatma Jasmine Long Grain Rice,2.99,32,Food City,0.0934375,59
Food Club Long Grain Instant White Rice,4.99,42,Food City,0.118809524,59
 Microwavable Russet Baking Potato,1.25,8,Food City,0.15625,60
"Basket & Bushel Potatoes, Russet",3.49,5,Food City,0.698,60
Basket & Bushel Idaho Russet Potatoes Mesh Bag,6.99,10,Food City,0.699,60
"Basket & Bushel Potatoes, Russet",4.99,10,Food City,0.499,60
Fresh Russet Potatoes Bag,19.99,50,Food City,0.3998,60
"Dash Table Blend Salt-free Seasoning Blend, Kosher",3.99,2.5,Food City,1.596,61
David's Kosher Salt,9.49,2.5,Food City,3.796,61
Food Club Iodized Salt & Pepper Shaker Set,2.39,5,Food City,0.478,61
Morton 50% Less Sodium Iodized Salt & Potassium Chloride,3.29,11,Food City,0.299090909,61
Morton Iodized Salt,1.89,26,Food City,0.072692308,61
Food Club Iodized Salt,0.99,26,Food City,0.038076923,61
Crisco All-vegetable Shortening,17.99,6,Food City,2.998333333,62
Crisco All-vegetable Shortening Stick,2.69,6.7,Food City,0.401492537,62
Chosen Foods Avocado Oil Shortening,10.99,16,Food City,0.686875,62
Crisco All-vegetable Butter Flavor Shortening,4.49,16,Food City,0.280625,62
That's Smart! Pre-creamed Shortening,6.49,42,Food City,0.15452381,62
Food Club All-vegetable Shortening,5.99,48,Food City,0.124791667,62
Thai Kitchen Sweetened Coconut Whipping Cream,4.99,13.66,Food City,0.365300146,63
Fresh Organic Spinach bunch,3.69,16,Food City,0.230625,64
Full Circle Market Baby Spinach,3.99,5,Food City,0.798,64
Fresh Express Baby Spinach,3.79,5,Food City,0.758,64
Fresh Express Spinach,2.99,8,Food City,0.37375,64
Fresh Express Spring Mix Spinach Salad,6.99,10,Food City,0.699,64
Popeye Leaf Spinach,1.79,13.5,Food City,0.132592593,64
Pam Olive Oil Cooking Spray,5.49,5,Food City,1.098,65
Pam Baking No-stick Cooking Spray,4.49,5,Food City,0.898,65
