Product,Price,Ounces,Source,Price per ounce,Categories,First unique?
Power Provisions Chicken Vegetable Bone Broth Soup,3.29,1.2,Food City,2.741666667,11,
Manischewitz Chicken Broth,3.29,17,Food City,0.193529412,11,
Food Club Beef Broth,2.99,14.5,Food City,0.206206897,11,
 Fresh Jumbo White Onions,1.49,16,Food City,0.093125,12,
"Basket & Bushel Onions, White",3.49,32,Food City,0.1090625,12,
"Melissa's New Onions, White Pearl",5.99,8,Food City,0.74875,12,
Melissa's New White Boiler Onions,5.99,7,Food City,0.855714286,12,
ShortCuts Recipe Ready Fresh Cut White Onion,2.49,8,Food City,0.31125,12,
ShortCuts Recipe Ready Fresh Cut White Onion,3.99,16,Food City,0.249375,12,
Fresh Organic Spinach bunch,3.69,11,Food City,0.335454545,13,
Fresh Express Spinach,2.99,8,Food City,0.37375,13,
Full Circle Market Baby Spinach,3.99,5,Food City,0.798,13,
Fresh Express Baby Spinach,3.79,5,Food City,0.758,13,
Fresh Express Spring Mix Spinach Salad,6.99,10,Food City,0.699,13,
Popeye Leaf Spinach,1.79,13.5,Food City,0.132592593,13,
Fresh Center Cut Pork Loin Chops,3.99,16,Food City,0.249375,14,
Fresh Thick Cut Center Loin Pork Chops,3.99,16,Food City,0.249375,14,
Fresh Boneless Pork Chops,5.49,16,Food City,0.343125,14,
Fresh Boneless Pork Chops,3.99,16,Food City,0.249375,14,
Fresh Boneless Pork Sirloin Chops,3.99,16,Food City,0.249375,14,
Fresh Tenderized Boneless Pork Chops,4.29,16,Food City,0.268125,14,
Farmer Focus Boneless Skinless Chicken Breast avg weight 1.25 lb,9.99,20,Food City,0.4995,15,
Farmer Focus Organic Boneless Skinless Chicken Breast avg weight 1.25 lb,9.99,20,Food City,0.4995,15,
Gerber's Amish Farm Boneless Chicken Breasts,7.99,16,Food City,0.499375,15,
Tyson Boneless Skinless Thin Sliced Chicken Breasts,10.99,40,Food City,0.27475,15,
Gerber's Amish Farm Family Pack Boneless Chicken Breasts 2.5 lb avg weight,7.49,16,Food City,0.468125,15,
Food Club Boneless Skinless Chicken Breast Portions,8.99,40,Food City,0.22475,15,
,,,,,16,
,,,,,16,
,,,,,16,
,,,,,16,
Silk Original Soymilk,4.49,64,Food City,0.07015625,16,
Silk Organic Unsweet Soymilk,4.49,64,Food City,0.07015625,16,
,,,,,17,
Silk Dairy-free Vanilla Soymilk Yogurt Alternative,1.79,5.3,Food City,0.337735849,17,
,,,,,17,
,,,,,17,
,,,,,17,
,,,,,17,
Daiya Deluxe Cheddar Dairy-free Mac & Cheese,4.29,10.6,Food City,0.404716981,18,
Follow Your Heart Cheddar Style Dairy-free Finelyy Dairy-free Cheddar Style Shredded Cheese,5.99,7,Food City,0.855714286,18,
,,,,,18,
,,,,,18,
,,,,,18,
,,,,,18,
Prego® Traditional Pasta Sauce,2.79,24,Food City,0.11625,19,
Prego® Traditional Pasta Sauce,4.69,45,Food City,0.104222222,19,
Prego® Traditional Pasta Sauce,2.49,14,Food City,0.177857143,19,
Prego® Traditional Pasta Sauce,5.99,67,Food City,0.089402985,19,
Prego® Traditional Lower Sodium Pasta Sauce,2.79,23.5,Food City,0.118723404,19,
Prego® Traditional No Sugar Added Pasta Sauce BOTTLE,2.79,23.5,Food City,0.118723404,19,
Goya Red Kidney Beans,1.99,15.5,Food City,0.128387097,20,
Hanover Light Red Red Skin Kidney Beans,2.79,40.5,Food City,0.068888889,20,
Hanover Light Red Kidney Beans,1.29,15.5,Food City,0.083225806,20,
Luck's Light Red Kidney Beans can,1.29,15,Food City,0.086,20,
Hanover Dark Red Kidney Beans,2.79,40.5,Food City,0.068888889,20,
Bush's Best Dark Red Kidney Beans,1.25,16,Food City,0.078125,20,
Silers Great Northern Beans,1.79,16,Food City,0.111875,21,
Hurst's Great Northern Beans,2.99,20,Food City,0.1495,21,
Hanover Great Northern Beans,2.79,40.5,Food City,0.068888889,21,
Hanover Great Northern Beans,1.29,15.5,Food City,0.083225806,21,
Food Club Great Northern Beans,0.99,15.5,Food City,0.063870968,21,
"Randall Great Northern Beans, Deluxe",4.69,48,Food City,0.097708333,21,
Mahatma Jasmine Long Grain Rice,3.19,32,Food City,0.0996875,22,
That's Smart! Enriched Long Grain Rice,0.99,16,Food City,0.061875,22,
Ben's Original Long Grain White Rice BOX,4.39,32,Food City,0.1371875,22,
"Canilla Parboiled Rice, Enriched, Long Grain",8.89,90,Food City,0.098777778,22,
Food Club Long Grain Brown Rice,0.99,16,Food City,0.061875,22,
Rice-A-Roni Original Long Grain & Wild Rice Box,1.67,4.3,Food City,0.388372093,22,
Sauer's Italian Seasoning,3.99,0.75,Food City,5.32,23,
That's Smart! Italian Seasoning,1.39,1.25,Food City,1.112,23,
McCormick Spicy Italian Seasoning,5.49,3.88,Food City,1.414948454,23,
Food Club Italian Seasoning,2.19,0.75,Food City,2.92,23,
Full Circle Market Italian Seasoning,3.29,0.8,Food City,4.1125,23,
McCormick Perfect Pinch Italian Seasoning,5.49,1.31,Food City,4.190839695,23,
Coca-Cola Cherry Cola,1.99,42.2,Food City,0.047156398,24,
Coca-Cola Cherry Cola,2.5,67.6,Food City,0.036982249,24,
"Coca-Cola Soda, Cherry",7.49,102,Food City,0.073431373,24,
Coca-Cola Mini Cherry Cola,6.99,75,Food City,0.0932,24,
Coca-Cola Cherry Soda Soft Drink 12 Pk.,10.49,144,Food City,0.072847222,24,
Coca-Cola Cherry Soda Soft Drink Pack,4.99,72,Food City,0.069305556,24,
Food Club Pure Cane Granulated Sugar,2.19,32,Food City,0.0684375,25,
"Food Club Sugar, Pure Cane, Granulated",4.39,160,Food City,0.0274375,25,
Domino Premium Pure Cane Granulated Sugar Bag,4.39,64,Food City,0.06859375,25,
Food Club Pure Cane Granulated Sugar,21.99,400,Food City,0.054975,25,
Food Club Pure Cane Granulated Sugar,3.49,64,Food City,0.05453125,25,
"That's Smart! Sugar, Pure Cane, Granulated",2.29,64,Food City,0.03578125,25,
Martha White All-purpose Flour,2.99,90,Food City,0.033222222,26,
Martha White All-purpose Flour,2.49,32,Food City,0.0778125,26,
White Lily All-purpose Flour,2.99,32,Food City,0.0934375,26,
Food City All Purpose Flour,1.79,32,Food City,0.0559375,26,
Food City All-purpose Flour,2.49,90,Food City,0.027666667,26,
Gold Medal All Purpose Flour,5.69,90,Food City,0.063222222,26,
Premier Protein Vanilla Vanilla High Protein Shake,2.99,11.5,Food City,0.26,27,
"Noosa Vanilla Bean Yoghurt, Finest, Vanilla Bean PLASTIC CONTAINER",2.19,8,Food City,0.27375,27,
Montchevre Blueberry Vanilla Blueberry Vanilla Goat Cheese log,5.99,4,Food City,1.4975,27,
Dymatize Gourmet Vanilla Gourmet Vanilla Protein Powder,36.99,21.2,Food City,1.744811321,27,
,,,,,,
,,,,,,
"Domino Sugar, Powdered, Premium Cane",3.99,16,Food City,0.249375,28,
Full Circle Market Powdered Sugar,6.99,16,Food City,0.436875,28,
Domino Powdered Premium Cane Sugar,3.59,32,Food City,0.1121875,28,
"Food Club Confectioners Sugar, With Cornstarch, Pure Cane",3.59,32,Food City,0.1121875,28,
Truvia Stevia Leaf Confectioners Sweetener,3.59,12,Food City,0.299166667,28,
Crystal Light Sugar Free Raspberry Ice Powdered Drink Mix 10 Ct.,9.99,0.6,Food City,16.65,28,
Food Club Canola Oil,4.79,40,Food City,0.11975,29,
Crisco Pure Canola Oil,12.99,128,Food City,0.101484375,29,
That's Smart! Canola Oil,3.49,40,Food City,0.08725,29,
Wesson Canola Oil,5.49,40,Food City,0.13725,29,
Food Club Canola Oil,3.29,32,Food City,0.1028125,29,
Food Club Canola Oil,10.99,128,Food City,0.085859375,29,
Full Circle Light Brown Pure Sugar,4.29,24,Food City,0.17875,30,
Domino Premium Pure Cane Light Brown Sugar,2.99,32,Food City,0.0934375,30,
"Domino Sugar, Dark Brown, Premium Pure Cane",5.79,16,Food City,0.361875,30,
Domino Premium Pure Cane Dark Brown Sugar,6.99,32,Food City,0.2184375,30,
"Domino Sugar, Premium Pure Cane, Light Brown",6.49,16,Food City,0.405625,30,
"Food Club Sugar, Pure Cane, Light Brown",6.99,32,Food City,0.2184375,30,
Food Club Ground Cinnamon,3.99,4.12,Food City,0.968446602,31,
Food Club Ground Cinnamon,2.49,2.37,Food City,1.050632911,31,
Food Club Ground Saigon Cinnamon,5.99,5.2,Food City,1.151923077,31,
Sauer's Ground Cinnamon,5.99,2.25,Food City,2.662222222,31,
Sauer's Value Size Ground Cinnamon,12.49,8.5,Food City,1.469411765,31,
Badia Cinnamon,1.99,0.5,Food City,3.98,31,
"Rumford Baking Powder, Reduced Sodium CONTAINER",3.59,4,Food City,0.8975,32,
"Clabber Girl Baking Powder, Double Acting",2.99,8.1,Food City,0.369135802,32,
Food Club Double Acting Baking Powder,2.49,8.1,Food City,0.307407407,32,
Wilton Meringue Powder,9.99,4,Food City,2.4975,32,
Food Club Unsweetened Baking Cocoa,4.59,8,Food City,0.57375,32,
"Baker's Premium Bittersweet Chocolate Baking Bar, 66% Cacao",4.29,4,Food City,1.0725,32,
Arm & Hammer Fridge-n-freezer Baking Soda,1.59,14,Food City,0.113571429,33,
Food Club Pure Baking Soda,3.29,64,Food City,0.05140625,33,
"Arm & Hammer Baking Soda, Pure",2.69,12,Food City,0.224166667,33,
Food Club Pure Baking Soda,0.99,16,Food City,0.061875,33,
Arm & Hammer Pure Baking Soda,0.99,8,Food City,0.12375,33,
,,,,,,
Imperial Vegetable Oil Spread,4.29,45,Food City,0.095333333,34,
Imperial Vegetable Oil Spread,1.59,16,Food City,0.099375,34,
Oreo Double Stuf Golden Sandwich Cookies,4.69,14.03,Food City,0.334283678,35,
"OREO Double Stuf Chocolate Sandwich Cookies, 14.03 Oz",4.69,14.03,Food City,0.334283678,35,
Oreo Family Size Double Stuf Golden Sandwich Cookies,5.39,18.71,Food City,0.28808124,35,
Oreo Party Size Double Stuf Golden Sandwich Cookies,6.99,24.95,Food City,0.280160321,35,
"OREO Double Stuf Chocolate Sandwich Cookies, Family Size, 18.71 Oz",5.39,18.71,Food City,0.28808124,35,
"OREO Double Stuf Chocolate Sandwich Cookies, Party Size, 24.95 Oz",6.99,24.95,Food City,0.280160321,35,
,,,,,,
,,,,,,
Food Club Original Non-dairy Coffee Creamer,4.99,22,Food City,0.226818182,36,
Food Club Original Non-dairy Coffee Creamer,3.79,16,Food City,0.236875,36,
Food Club Original Non-dairy Coffee Creamer,6.99,35.3,Food City,0.198016997,36,
Food Club Original Non-dairy Coffee Creamer,2.79,11,Food City,0.253636364,36,
Lay's Original Potato Crisps,1.99,5.75,Food City,0.346086957,37,
Lay's Original Wavy Potato Chips,3.99,7.75,Food City,0.51483871,37,
Lay's Original Kettle Cooked Potato Chips,3.99,8,Food City,0.49875,37,
Lay's Party Size Original Potato Chips Party Size bag,5.69,13,Food City,0.437692308,37,
Lay's Party Size Original Baked 65% Less Fat Potato Crisps,6.49,9.25,Food City,0.701621622,37,
Club Original Crackers,3.79,13.7,Food City,0.276642336,38,
Club Multifgrain Crackers,3.79,12.7,Food City,0.298425197,38,
Club Sweet Hawaiian Crackers,3.79,13.7,Food City,0.276642336,38,
Club Reduced Fat Crackers,3.79,11.7,Food City,0.323931624,38,
Club Minis Original Crackers,3.79,11,Food City,0.344545455,38,
Food Club Graham Cracker Crumbs,2.99,13.5,Food City,0.221481481,38,
