Product,Price,Ounces,Source,Price per ounce,Categories
Fresh Organic Bananas - 2lb - Good & Gather™,1.99,0,Target,0,0
Fresh Banana - each - Good & Gather™,0.29,0,Target,0,0
Strawberry Banana Frozen Fruit Blend - 48oz - Good & Gather™,8.49,0,Target,0,0
Fresh Extra Large Bi-Color Seedless Grapes - 2lb,3.65,0,Target,0,0
Noka Organic Superfood Smoothie Cherry Acai - Case of 6/4.22 oz,31.99,6/4.22,Target,0,0
Mamma Chia Organic Squeeze Vitality Snack Wild Raspberry - Case of 16/3.5 oz,46.99,16/3.5,Target,0,0
